Hospital,Stage,Month,Year,MonthYear,Births,Deaths,Rate
Vienna General Hospital,Before handwashing,January,1841,Jan-1841,254,37,14.6
Vienna General Hospital,Before handwashing,February,1841,Feb-1841,239,18,7.5
Vienna General Hospital,Before handwashing,March,1841,Mar-1841,277,12,4.3
Vienna General Hospital,Before handwashing,April,1841,Apr-1841,255,4,1.6
Vienna General Hospital,Before handwashing,May,1841,May-1841,255,2,0.8
Vienna General Hospital,Before handwashing,June,1841,Jun-1841,200,10,5.0
Vienna General Hospital,Before handwashing,July,1841,Jul-1841,190,16,8.4
Vienna General Hospital,Before handwashing,August,1841,Aug-1841,222,3,1.4
Vienna General Hospital,Before handwashing,September,1841,Sep-1841,213,4,1.9
Vienna General Hospital,Before handwashing,October,1841,Oct-1841,236,26,11.0
Vienna General Hospital,Before handwashing,November,1841,Nov-1841,235,53,22.6
Vienna General Hospital,Before handwashing,December,1841,Dec-1841,,,
Vienna General Hospital,Before handwashing,January,1842,Jan-1842,307,64,20.8
Vienna General Hospital,Before handwashing,February,1842,Feb-1842,311,38,12.2
Vienna General Hospital,Before handwashing,March,1842,Mar-1842,264,27,10.2
Vienna General Hospital,Before handwashing,April,1842,Apr-1842,242,26,10.7
Vienna General Hospital,Before handwashing,May,1842,May-1842,310,10,3.2
Vienna General Hospital,Before handwashing,June,1842,Jun-1842,273,18,6.6
Vienna General Hospital,Before handwashing,July,1842,Jul-1842,231,48,20.8
Vienna General Hospital,Before handwashing,August,1842,Aug-1842,216,55,25.5
Vienna General Hospital,Before handwashing,September,1842,Sep-1842,223,41,18.4
Vienna General Hospital,Before handwashing,October,1842,Oct-1842,242,71,29.3
Vienna General Hospital,Before handwashing,November,1842,Nov-1842,209,48,23
Vienna General Hospital,Before handwashing,December,1842,Dec-1842,239,75,31.4
Vienna General Hospital,Before handwashing,January,1843,Jan-1843,272,52,19.1
Vienna General Hospital,Before handwashing,February,1843,Feb-1843,263,42,16
Vienna General Hospital,Before handwashing,Mar,1843,Mar-1843,266,33,12.4
Vienna General Hospital,Before handwashing,April,1843,Apr-1843,285,34,11.9
Vienna General Hospital,Before handwashing,May,1843,May-1843,246,15,6.1
Vienna General Hospital,Before handwashing,June,1843,Jun-1843,196,8,4.1
Vienna General Hospital,Before handwashing,July,1843,Jul-1843,191,1,0.5
Vienna General Hospital,Before handwashing,August,1843,Aug-1843,193,3,1.6
Vienna General Hospital,Before handwashing,September,1843,Sep-1843,221,5,2.3
Vienna General Hospital,Before handwashing,October,1843,Oct-1843,250,44,17.6
Vienna General Hospital,Before handwashing,November,1843,Nov-1843,252,18,7.1
Vienna General Hospital,Before handwashing,December,1843,Dec-1843,236,19,8.1
Vienna General Hospital,Before handwashing,January,1844,Jan-1844,244,37,15.2
Vienna General Hospital,Before handwashing,February,1844,Feb-1844,257,29,11.3
Vienna General Hospital,Before handwashing,March,1844,Mar-1844,276,47,17
Vienna General Hospital,Before handwashing,April,1844,Apr-1844,208,36,17.3
Vienna General Hospital,Before handwashing,May,1844,May-1844,240,14,5.8
Vienna General Hospital,Before handwashing,June,1844,Jun-1844,224,6,2.7
Vienna General Hospital,Before handwashing,July,1844,Jul-1844,206,9,4.4
Vienna General Hospital,Before handwashing,August,1844,Aug-1844,269,17,6.3
Vienna General Hospital,Before handwashing,September,1844,Sep-1844,245,3,1.2
Vienna General Hospital,Before handwashing,October,1844,Oct-1844,248,8,3.2
Vienna General Hospital,Before handwashing,November,1844,Nov-1844,245,27,11
Vienna General Hospital,Before handwashing,December,1844,Dec-1844,256,27,10.5
Vienna General Hospital,Before handwashing,January,1845,Jan-1845,303,23,7.6
Vienna General Hospital,Before handwashing,February,1845,Feb-1845,274,13,4.7
Vienna General Hospital,Before handwashing,March,1845,Mar-1845,292,13,4.5
Vienna General Hospital,Before handwashing,April,1845,Apr-1845,260,11,4.2
Vienna General Hospital,Before handwashing,May,1845,May-1845,296,13,4.4
Vienna General Hospital,Before handwashing,June,1845,Jun-1845,280,20,7.1
Vienna General Hospital,Before handwashing,July,1845,Jul-1845,245,15,6.1
Vienna General Hospital,Before handwashing,August,1845,Aug-1845,251,9,3.6
Vienna General Hospital,Before handwashing,September,1845,Sep-1845,237,25,10.5
Vienna General Hospital,Before handwashing,October,1845,Oct-1845,283,42,14.8
Vienna General Hospital,Before handwashing,November,1845,Nov-1845,265,29,10.9
Vienna General Hospital,Before handwashing,December,1845,Dec-1845,267,28,10.5
Vienna General Hospital,Before handwashing,January,1846,Jan-1846,336,45,13.4
Vienna General Hospital,Before handwashing,February,1846,Feb-1846,293,53,18.1
Vienna General Hospital,Before handwashing,March,1846,Mar-1846,311,48,15.4
Vienna General Hospital,Before handwashing,April,1846,Apr-1846,253,48,19
Vienna General Hospital,Before handwashing,May,1846,May-1846,305,41,13.4
Vienna General Hospital,Before handwashing,June,1846,Jun-1846,266,27,10.2
Vienna General Hospital,Before handwashing,July,1846,Jul-1846,252,33,13.1
Vienna General Hospital,Before handwashing,August,1846,Aug-1846,216,39,18.1
Vienna General Hospital,Before handwashing,September,1846,Sep-1846,271,39,14.4
Vienna General Hospital,Before handwashing,October,1846,Oct-1846,254,38,15
Vienna General Hospital,Before handwashing,November,1846,Nov-1846,297,32,10.8
Vienna General Hospital,Before handwashing,December,1846,Dec-1846,298,16,5.4
Vienna General Hospital,Before handwashing,January,1847,Jan-1847,311,10,3.2
Vienna General Hospital,Before handwashing,February,1847,Feb-1847,312,6,1.9
Vienna General Hospital,Before handwashing,March,1847,Mar-1847,305,11,3.6
Vienna General Hospital,Before handwashing,April,1847,Apr-1847,312,57,18.3
Vienna General Hospital,Before handwashing,May,1847,May-1847,294,36,12.2
Vienna General Hospital,After handwashing,June,1847,Jun-1847,268,6,2.2
Vienna General Hospital,After handwashing,July,1847,Jul-1847,250,3,1.2
Vienna General Hospital,After handwashing,August,1847,Aug-1847,264,5,1.9
Vienna General Hospital,After handwashing,September,1847,Sep-1847,262,12,4.6
Vienna General Hospital,After handwashing,October,1847,Oct-1847,278,11,4
Vienna General Hospital,After handwashing,November,1847,Nov-1847,246,11,4.5
Vienna General Hospital,After handwashing,December,1847,Dec-1847,273,8,2.9
Vienna General Hospital,After handwashing,January,1848,Jan-1848,283,10,3.5
Vienna General Hospital,After handwashing,February,1848,Feb-1848,291,2,0.7
Vienna General Hospital,After handwashing,March,1848,Mar-1848,276,0,0
Vienna General Hospital,After handwashing,April,1848,Apr-1848,305,2,0.7
Vienna General Hospital,After handwashing,May,1848,May-1848,313,3,1
Vienna General Hospital,After handwashing,June,1848,Jun-1848,264,3,1.1
Vienna General Hospital,After handwashing,July,1848,Jul-1848,269,1,0.4
Vienna General Hospital,After handwashing,August,1848,Aug-1848,261,0,0
Vienna General Hospital,After handwashing,September,1848,Sep-1848,312,3,1
Vienna General Hospital,After handwashing,October,1848,Oct-1848,299,7,2.3
Vienna General Hospital,After handwashing,November,1848,Nov-1848,310,9,2.9
Vienna General Hospital,After handwashing,December,1848,Dec-1848,373,5,1.3
Vienna General Hospital,After handwashing,January,1849,Jan-1849,403,9,2.2
Vienna General Hospital,After handwashing,February,1849,Feb-1849,389,12,3.1
Vienna General Hospital,After handwashing,March,1849,Mar-1849,406,20,4.9
