Hospital,Stage,Year,Births,Deaths,Rate,Note
Vienna General Hospital,Period 1,1784,284,6,2.1,No pathological anatomy
Vienna General Hospital,Period 1,1785,899,13,1.4,
Vienna General Hospital,Period 1,1786,1151,5,0.4,
Vienna General Hospital,Period 1,1787,1407,5,0.4,
Vienna General Hospital,Period 1,1788,1425,5,0.4,
Vienna General Hospital,Period 1,1789,1246,7,0.6,
Vienna General Hospital,Period 1,1790,1326,10,0.8,
Vienna General Hospital,Period 1,1791,1395,8,0.6,
Vienna General Hospital,Period 1,1792,1579,14,0.9,
Vienna General Hospital,Period 1,1793,1684,44,2.6,
Vienna General Hospital,Period 2,1831,3353,222,6.6,
Vienna General Hospital,Period 2,1832,3331,105,3.2,
Vienna General Hospital,Period 2,1833,3737,197,5.3,
Vienna General Hospital,Period 2,1834,2657,205,7.7,
Vienna General Hospital,Period 2,1835,2573,143,5.6,
Vienna General Hospital,Period 2,1836,2677,200,7.5,
Vienna General Hospital,Period 2,1837,2765,251,9.1,
Vienna General Hospital,Period 2,1838,2987,91,3,
Vienna General Hospital,Period 2,1839,2781,151,5.4,
Vienna General Hospital,Period 2,1840,2889,267,9.2,
Dublin Maternity Hospital,Period 1,1784,1261,11,0.9,
Dublin Maternity Hospital,Period 1,1785,1292,8,0.6,
Dublin Maternity Hospital,Period 1,1786,1351,8,0.6,
Dublin Maternity Hospital,Period 1,1787,1347,10,0.7,
Dublin Maternity Hospital,Period 1,1788,1469,23,1.6,
Dublin Maternity Hospital,Period 1,1789,1435,25,1.7,
Dublin Maternity Hospital,Period 1,1790,1546,12,0.8,
Dublin Maternity Hospital,Period 1,1791,1602,25,1.6,
Dublin Maternity Hospital,Period 1,1792,1631,10,0.6,
Dublin Maternity Hospital,Period 1,1793,1747,19,1.1,
Dublin Maternity Hospital,Period 2,1831,2176,12,0.6,
Dublin Maternity Hospital,Period 2,1832,2242,12,0.5,
Dublin Maternity Hospital,Period 2,1833,2138,12,0.6,
Dublin Maternity Hospital,Period 2,1834,2024,34,1.7,
Dublin Maternity Hospital,Period 2,1835,1902,34,1.8,
Dublin Maternity Hospital,Period 2,1836,1810,36,2,
Dublin Maternity Hospital,Period 2,1837,1833,24,1.3,
Dublin Maternity Hospital,Period 2,1838,2126,45,2.1,
Dublin Maternity Hospital,Period 2,1839,1951,25,1.3,
Dublin Maternity Hospital,Period 2,1840,1521,26,1.7,
