Stage,Index,Stage Index,X Position,Units
Baseline,1,1,0.681,mm
Baseline,2,2,0.565,mm
Baseline,3,3,0.577,mm
Baseline,4,4,0.572,mm
Baseline,5,5,0.565,mm
Baseline,6,6,0.618,mm
Baseline,7,7,0.454,mm
Baseline,8,8,0.166,mm
Baseline,9,9,0.875,mm
Baseline,10,10,0.461,mm
Baseline,11,11,0.548,mm
Baseline,12,12,0.510,mm
Baseline,13,13,0.378,mm
Baseline,14,14,0.586,mm
Baseline,15,15,0.603,mm
Baseline,16,16,1.021,mm
Baseline,17,17,0.968,mm
Baseline,18,18,0.487,mm
Baseline,19,19,0.092,mm
Baseline,20,20,0.000,mm
Baseline,21,21,0.433,mm
Baseline,22,22,0.591,mm
Baseline,23,23,0.455,mm
Baseline,24,24,0.219,mm
Baseline,25,25,0.387,mm
Baseline,26,26,0.824,mm
Baseline,27,27,0.644,mm
Baseline,28,28,2.193,mm
Baseline,29,29,0.590,mm
Baseline,30,30,0.619,mm
Baseline,31,31,0.546,mm
Baseline,32,32,0.544,mm
Baseline,33,33,0.657,mm
Baseline,34,34,0.423,mm
Baseline,35,35,0.404,mm
Baseline,36,36,0.591,mm
Baseline,37,37,0.000,mm
Baseline,38,38,0.650,mm
Baseline,39,39,0.544,mm
Baseline,40,40,0.577,mm
Baseline,41,41,0.506,mm
Baseline,42,42,0.369,mm
Baseline,43,43,0.312,mm
Baseline,44,44,0.692,mm
Baseline,45,45,0.839,mm
Baseline,46,46,0.778,mm
Baseline,47,47,0.645,mm
Baseline,48,48,0.000,mm
Baseline,49,49,0.198,mm
Baseline,50,50,0.631,mm
Baseline,51,51,0.647,mm
Baseline,52,52,0.859,mm
Baseline,53,53,0.396,mm
Baseline,54,54,0.719,mm
Baseline,55,55,0.983,mm
Baseline,56,56,0.708,mm
Baseline,57,57,0.637,mm
Baseline,58,58,0.623,mm
Baseline,59,59,0.686,mm
Baseline,60,60,0.442,mm
Baseline,61,61,0.622,mm
Baseline,62,62,0.611,mm
Baseline,63,63,0.590,mm
Baseline,64,64,0.488,mm
Baseline,65,65,0.790,mm
Baseline,66,66,0.271,mm
Baseline,67,67,0.547,mm
Baseline,68,68,0.654,mm
Baseline,69,69,0.650,mm
Baseline,70,70,0.556,mm
Baseline,71,71,0.587,mm
Baseline,72,72,0.261,mm
Baseline,73,73,0.756,mm
Baseline,74,74,0.662,mm
Baseline,75,75,0.754,mm
Baseline,76,76,0.645,mm
Baseline,77,77,0.000,mm
Baseline,78,78,0.235,mm
Baseline,79,79,0.575,mm
Baseline,80,80,0.496,mm
Baseline,81,81,0.722,mm
Baseline,82,82,0.000,mm
Baseline,83,83,0.515,mm
Baseline,84,84,0.824,mm
Baseline,85,85,0.182,mm
Baseline,86,86,0.640,mm
Baseline,87,87,0.526,mm
Baseline,88,88,0.837,mm
Baseline,89,89,0.507,mm
Baseline,90,90,0.053,mm
Baseline,91,91,0.226,mm
Baseline,92,92,0.358,mm
Baseline,93,93,0.373,mm
Baseline,94,94,0.457,mm
Baseline,95,95,0.369,mm
Initial change,96,1,0.490,mm
Initial change,97,2,0.467,mm
Initial change,98,3,0.451,mm
Initial change,99,4,0.513,mm
Initial change,100,5,0.976,mm
Initial change,101,6,0.926,mm
Initial change,102,7,0.000,mm
Initial change,103,8,0.559,mm
Initial change,104,9,0.667,mm
Initial change,105,10,0.921,mm
Initial change,106,11,0.605,mm
Initial change,107,12,0.438,mm
Initial change,108,13,0.724,mm
Initial change,109,14,0.385,mm
Initial change,110,15,0.691,mm
Initial change,111,16,0.880,mm
Initial change,112,17,1.022,mm
Initial change,113,18,0.708,mm
Initial change,114,19,0.000,mm
Initial change,115,20,0.000,mm
Initial change,116,21,0.000,mm
Initial change,117,22,0.262,mm
Initial change,118,23,2.491,mm
Initial change,119,24,0.589,mm
Initial change,120,25,0.558,mm
Initial change,121,26,0.832,mm
Initial change,122,27,0.767,mm
Initial change,123,28,0.763,mm
Initial change,124,29,0.873,mm
Initial change,125,30,0.799,mm
Initial change,126,31,0.223,mm
Initial change,127,32,0.757,mm
Initial change,128,33,0.541,mm
Initial change,129,34,0.909,mm
Initial change,130,35,0.647,mm
Initial change,131,36,0.443,mm
Initial change,132,37,0.285,mm
Initial change,133,38,0.437,mm
Initial change,134,39,0.647,mm
Initial change,135,40,0.525,mm
Initial change,136,41,0.634,mm
Initial change,137,42,0.685,mm
Initial change,138,43,0.360,mm
Initial change,139,44,0.075,mm
Initial change,140,45,2.097,mm
Initial change,141,46,0.972,mm
Initial change,142,47,0.000,mm
Initial change,143,48,0.000,mm
Initial change,144,49,0.000,mm
Initial change,145,50,0.000,mm
Initial change,146,51,0.138,mm
Initial change,147,52,0.193,mm
Initial change,148,53,0.776,mm
Initial change,149,54,2.199,mm
Initial change,150,55,0.830,mm
Initial change,151,56,0.556,mm
Initial change,152,57,0.401,mm
Initial change,153,58,2.670,mm
Initial change,154,59,0.614,mm
Initial change,155,60,0.543,mm
Initial change,156,61,0.853,mm
Initial change,157,62,0.686,mm
Initial change,158,63,0.514,mm
Initial change,159,64,0.543,mm
Initial change,160,65,0.500,mm
Initial change,161,66,0.000,mm
Initial change,162,67,0.841,mm
Initial change,163,68,0.751,mm
Initial change,164,69,0.561,mm
Initial change,165,70,0.676,mm
Initial change,166,71,0.554,mm
Initial change,167,72,0.547,mm
Initial change,168,73,0.874,mm
Initial change,169,74,0.951,mm
Initial change,170,75,0.643,mm
Initial change,171,76,0.901,mm
Initial change,172,77,0.000,mm
Initial change,173,78,0.000,mm
Initial change,174,79,0.335,mm
Initial change,175,80,0.000,mm
Initial change,176,81,0.000,mm
Initial change,177,82,0.530,mm
Initial change,178,83,0.544,mm
Initial change,179,84,0.818,mm
Initial change,180,85,0.603,mm
Initial change,181,86,0.721,mm
Initial change,182,87,0.509,mm
Initial change,183,88,0.692,mm
Initial change,184,89,0.867,mm
Initial change,185,90,0.919,mm
Initial change,186,91,0.708,mm
Initial change,187,92,0.666,mm
Initial change,188,93,0.512,mm
Initial change,189,94,0.642,mm
Initial change,190,95,0.671,mm
